,FID US Stocks,FID US Equity,NEI US Equity RS,AIM US Companies,CIBC US Equity,Scotia US Equity,BMO US Equity,Sunlife US Growth,Mawer US Equity,S&P500,death,inIcuCumulative,positive
2020-04-02,0.02058410768281016,0.020932368691801484,0.018635485631216975,0.02461559743703101,0.020935634097361877,0.019576022287211003,0.022388510059894395,0.014716386559352701,0.01570804718973906,0.02282934723487151,0.22016113921678837,0.19140625,0.12607037715811775
2020-04-03,-0.01671487199862809,-0.023844172493000304,-0.01708732259932122,-0.01784106832653254,-0.018623083134609475,-0.017650404475037962,-0.017820459974975167,-0.017493090832185865,-0.01145512919416225,-0.015137125124949469,0.1977886977886978,0.09836065573770503,0.12667924107853445
2020-04-06,0.07203751177527096,0.05466110503282273,0.06355318186010739,0.07311959829227943,0.06854449900339965,0.06758444203896818,0.0633551075761607,0.07647621904337698,0.06528265074139483,0.07033131865275055,0.12375211904313432,0.08866995073891615,0.08260645885461737
2020-04-07,-0.011181429107501084,-0.016402733757261645,-0.011104457812965096,-0.01319968217073153,-0.014167221316541578,-0.009827822393496555,-0.004898758671368686,-0.017854306492213756,-0.013481593122623647,-0.0016030527844311804,0.17113643982567894,0.1131221719457014,0.0821246125433357
2020-04-09,0.04398801335709601,0.06176554239384391,0.04185440586374045,0.04514491325095804,0.04329866098437751,0.048995492074739966,0.04543821557261096,0.028909269471547372,0.04631481256199832,0.04903725283424332,0.12859199899830975,0.0649651972157772,0.08104802846131043
2020-04-13,-0.0062763773059019146,-0.02782334463718883,-0.02113476159837524,-0.018783037718984263,-0.017991130178869885,-0.018330158860149104,-0.016388757511908825,-0.0018125526355567967,-0.017657888258645893,-0.010104660822607414,0.06824366757379119,0.06901311249137332,0.043099615182007334
2020-04-14,0.036427260827234687,0.027092955989815648,0.029164213631797553,0.03417874414218769,0.03348160754388263,0.033112898479062514,0.026547503657867733,0.029991014905854207,0.02693302583072721,0.030572589146256046,0.0923378404859887,0.060038734667527516,0.04441222239151155
2020-04-16,-0.0008706017145023726,0.0004867935286636538,0.0049475346193184055,-0.005488722742376773,0.005507856203216477,-0.0019908535452125564,-0.00552808880570288,0.014632989776708794,0.002332540884200096,-0.016341893286892173,0.0722083388136261,0.07251461988304087,0.048859385108717124
2020-04-17,0.0226736253375035,0.018380606474004413,0.015495174427729186,0.023367820971719855,0.017863205373814806,0.020907186753138074,0.02298405459388486,0.013889812226888232,0.018961920145073252,0.026793594848223412,0.06489205103042206,0.11886586695747003,0.04693198884359573
2020-04-20,-0.01279877053609102,-0.013049307881406014,-0.011318873068672297,-0.010958117119739486,-0.009925081921484447,-0.011434918886381151,-0.012871459681585207,-0.011177847688132236,-0.013267744838193152,-0.01788104803401469,0.04725804350657814,0.02237762237762242,0.03219284007781442
2020-04-23,-0.0025198730709240502,-0.015499681078047667,-0.01634736059960107,-0.017286404672788303,-0.012242913554143642,-0.013335278907658954,-0.015885982418386124,-0.013078812369624382,-0.011298449489138274,-0.008982793773910536,0.04028821915363512,0.024472573839662504,0.03810353261193766
