Date,FID US Stocks,FID US Equity,NEI US Equity RS,AIM US Companies,CIBC US Equity,Scotia US Equity,BMO US Equity,Sunlife US Growth,Mawer US Equity,S&P500
2018-01-03,1.0116147203507282,1.0073384194533985,1.0071219292947131,1.010437840408294,1.0102959985326039,1.0089838377539808,1.008046409312936,1.013064957907655,1.0096371446774421,1.0063988187687816
2018-01-04,1.0191293369571368,1.009293787023686,1.0099826390762834,1.0115586666383403,1.0097284207983694,1.0102230354749733,1.011360006864306,1.015623259197291,1.0151535043913968,1.01045323336145
2018-01-05,1.0349874896555782,1.0087686112302117,1.011881287722015,1.010297745480452,1.0130270448660614,1.0100450194485022,1.0107568763510042,1.0155640983477552,1.0126400736770615,1.0175605264173153
2018-01-08,1.0381154171908216,1.0138656426454191,1.01364695540518,1.011698828373492,1.0153951467134312,1.0130110732002906,1.010643396055839,1.0207176500154143,1.0173406870217774,1.0192520619834853
2018-01-09,1.0411302775780518,1.0184891035860955,1.0170509226417794,1.0221366019744766,1.0227880330547476,1.0174996919920445,1.0152909453416101,1.0271207719031235,1.024642958520908,1.0205800776994247
2018-01-10,1.0400298675533013,1.021977784133788,1.0224157114416736,1.0250788626883982,1.0259051848793956,1.0224431568175358,1.0180085852546261,1.026699312549518,1.0251081501043973,1.019444961156627
2018-01-11,1.0493080585249364,1.0271826769261976,1.0266459524351277,1.0313135212248825,1.0340982351402854,1.0289321929914987,1.0255227807801595,1.0375904794327553,1.0352304195429252,1.0266153766179758
2018-01-12,1.057975845033172,1.0287769861384715,1.0275796255895093,1.037197909038107,1.036480357825993,1.0308963408654894,1.0270767232358378,1.0410212445976061,1.0421027399708576,1.0335446228314011
2018-01-16,1.0490518065334127,1.0241769577689617,1.0223308713145816,1.0287215980415303,1.0287758184198499,1.0237382988406325,1.0209390430139713,1.0276826942034214,1.0294802444968243,1.0299019076007525
2018-01-17,1.0600862401162388,1.0326970227576773,1.0321437221975882,1.0392995333776667,1.0374248121451697,1.0337866498037545,1.0269064012901425,1.0404297066157766,1.0384030749239368,1.0395984871633295
2018-01-18,1.0621589701099485,1.0314075158451583,1.0306638772326662,1.0411209010542326,1.0363640203635818,1.0311699022169025,1.0261401217060935,1.0428770901267241,1.0396818261145657,1.037918090845186
2018-01-19,1.0721230394835803,1.0503045429316007,1.0440137842539317,1.0521191211738952,1.0514613573715579,1.0424145183635596,1.0369395616263637,1.047853159245776,1.0493939935532575,1.042469605701411
2018-01-22,1.0826298742956397,1.0473082146902903,1.0491890320065318,1.0571628726127575,1.0552392633877488,1.046870199161715,1.0401041528509873,1.0564448799986685,1.0567535413981404,1.050878922894487
2018-01-23,1.086089384001121,1.0467455646704085,1.0483175317697135,1.058634036373373,1.0577376347963843,1.0468075918303714,1.0389759814252308,1.0634394693546798,1.0553027929577854,1.0531639177477923
2018-01-24,1.0827579643514307,1.0420330241843812,1.039792070448824,1.0493870362553914,1.046101670068199,1.0380083074145683,1.03124179517842,1.0555132552739181,1.0495880266364448,1.0525741715433325
2018-01-25,1.0838810165577604,1.045465448673815,1.044421146390884,1.0535902181272012,1.0479533968631127,1.042042143031351,1.033533664061514,1.0536573392312727,1.0476411355182733,1.0532084747398982
2018-01-26,1.0962344470675036,1.0491135959176527,1.0512913617207393,1.0600350524591033,1.0561325150251477,1.0506601427648297,1.0427650187821047,1.0679127770229697,1.0596462912304534,1.0656797232539859
2018-01-29,1.0895338707988245,1.0427223174133162,1.045391734715069,1.0556217615991852,1.0503587692934058,1.0440227599021408,1.0387702011165858,1.0633359554963744,1.0545841051832572,1.0585055947099618
